#separator:tab
#html:false
#columns:약어	풀네임	한줄정의	사례	위치	태그
PERT	Program Evaluation and Review Technique	작업의 낙관치·기대치·비관치로 예측 기간을 계산하는 일정 계획 기법	신기술을 처음 쓰는 작업에 낙관·기대·비관 3개 값을 넣어 기간을 추정한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_약어 과목5
CPM	Critical Path Method	작업 간 의존 관계를 네트워크로 표현해 최장 경로(임계 경로)를 찾는 일정 계획 기법	작업 네트워크를 그려 가장 오래 걸리는 경로가 곧 최소 완료 기간임을 확인한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_약어 과목5
CMMI	Capability Maturity Model Integration	소프트웨어 개발 조직의 능력 성숙도를 5단계로 평가하는 모델	「우리 회사는 CMMI 레벨 3 인증」이 SI 입찰 자격이 되기도 한다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_약어 과목5
SPICE	Software Process Improvement and Capability dEtermination	ISO/IEC 15504로 제정된 소프트웨어 프로세스 평가 국제 표준	ISO 15504 — 프로세스 능력을 0~5 여섯 단계로 평가한다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_약어 과목5
CASE	Computer Aided Software Engineering	소프트웨어 개발 과정 전체 또는 일부를 자동화한 도구	요구사항부터 코드 생성까지 도구로 자동화한다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_약어 과목5
VANET	Vehicular Ad-hoc Network	차량 간 또는 차량과 인프라 간 통신을 위한 애드혹 네트워크	앞차의 급제동을 뒤차에 알려 주는 차량 간 통신.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
SDN	Software Defined Network	네트워크 제어 평면과 데이터 평면을 분리해 소프트웨어로 제어하는 네트워크	데이터센터에서 스위치 수백 대의 경로를 중앙 컨트롤러가 코드로 바꾼다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
NFV	Network Functions Virtualization	방화벽·로드밸런서 등 네트워크 기능을 소프트웨어로 가상화하는 기술	전용 방화벽 장비 대신 범용 서버에 방화벽 소프트웨어를 올린다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
SDP	Software Defined Perimeter	사용자 인증 후에만 자원을 노출하는 소프트웨어 정의 경계 기술	인증 전에는 서버가 존재조차 보이지 않게 감춘다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
Li-Fi	Light Fidelity	가시광선(LED)을 이용해 데이터를 전송하는 무선 통신 기술	LED 조명 아래에서만 통신되는 방식 — 빛이 벽을 통과 못 해 보안에 유리.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
NFC	Near Field Communication	10cm 이내 근거리에서 데이터를 교환하는 무선 통신 기술	교통카드를 개찰구에 대는 그 거리 — 10cm 이내.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
RFID	Radio Frequency Identification	무선 주파수를 이용해 태그의 정보를 읽는 자동 인식 기술	물류창고에서 박스를 지나가게만 해도 재고가 자동 집계된다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
USN	Ubiquitous Sensor Network	센서 노드가 자율적으로 정보를 수집·전달하는 유비쿼터스 센서 네트워크	산불 감시 센서를 산에 뿌려 두고 온도 이상을 자동 보고받는다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
IoT	Internet of Things	사물에 센서와 통신 기능을 넣어 인터넷에 연결하는 사물 인터넷 기술	스마트 플러그로 외출 중 전등을 끄고 전력 사용량을 본다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
M2M	Machine to Machine	사람의 개입 없이 기계와 기계가 통신하는 기술	자판기가 재고가 줄면 사람 개입 없이 본사에 발주를 넣는다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
SSO	Single Sign On	한 번의 인증으로 여러 시스템에 접근할 수 있게 하는 통합 인증 기술	회사 계정으로 로그인하면 메일·그룹웨어·인사 시스템이 한 번에 열린다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
MQTT	Message Queuing Telemetry Transport	저전력·저대역폭 환경을 위한 발행-구독 방식의 경량 메시징 프로토콜	배터리로 도는 IoT 센서가 최소 전력으로 서버에 값을 발행한다.	5-5 네트워크 신기술 (5과목)	유형_약어 과목5
MTBF	Mean Time Between Failure	고장 사이의 평균 시간, 즉 평균 무고장 시간	고장과 고장 사이 평균 무고장 시간 — 길수록 좋다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_약어 과목5
MTTR	Mean Time To Repair	고장을 수리하는 데 걸리는 평균 시간	고장 신고부터 복구까지 평균 시간 — 짧을수록 좋다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_약어 과목5
Secure OS	Secure Operating System	기존 운영체제에 보안 커널을 추가해 보안 기능을 강화한 운영체제	군·정부 시스템에서 커널에 강제 접근 통제를 넣어 관리자도 함부로 못 보게 한다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_약어 과목5
IaaS	Infrastructure as a Service	서버·스토리지·네트워크 등 인프라를 서비스로 제공하는 클라우드 모델	AWS EC2 — 빈 서버를 받고 OS부터 내가 깐다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_약어 과목5
PaaS	Platform as a Service	개발 환경과 실행 플랫폼을 서비스로 제공하는 클라우드 모델	Heroku·App Engine — 코드만 올리면 실행 환경은 알아서 해 준다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_약어 과목5
SaaS	Software as a Service	완성된 소프트웨어를 서비스로 제공하는 클라우드 모델	구글 워크스페이스·Notion — 완성품을 그냥 쓴다.	5-6 HW · 서버 · 고가용성 (5과목)	유형_약어 과목5
OLAP	Online Analytical Processing	다차원 데이터를 대화식으로 분석하는 온라인 분석 처리	피벗 테이블에서 지역 → 지점 → 상품으로 파고 들어간다.	5-7 SW · DB 신기술 · 빅데이터 (5과목)	유형_약어 과목5
OLTP	Online Transaction Processing	다수의 사용자가 실시간으로 거래를 처리하는 온라인 트랜잭션 처리	결제·이체처럼 실시간 거래를 처리한다.	5-7 SW · DB 신기술 · 빅데이터 (5과목)	유형_약어 과목5
NoSQL	Not Only SQL	관계형 스키마 없이 대용량 데이터를 유연하게 저장하는 데이터베이스	세션은 Redis, 로그는 MongoDB, 대용량 시계열은 Cassandra.	5-7 SW · DB 신기술 · 빅데이터 (5과목)	유형_약어 과목5
HDFS	Hadoop Distributed File System	하둡에서 대용량 파일을 여러 노드에 분산 저장하는 파일 시스템	큰 파일을 128MB 블록으로 쪼개 3중 복제해 여러 노드에 저장한다.	5-7 SW · DB 신기술 · 빅데이터 (5과목)	유형_약어 과목5
Secure SDLC	Secure Software Development Life Cycle	보안 요소를 소프트웨어 개발 생명주기 전 단계에 포함시킨 개발 방법론	설계 단계에 위협 모델링을, 코딩 단계에 정적 분석을 넣어 보안을 앞당긴다.	5-8 Secure SDLC · 시큐어 코딩 (5과목)	유형_약어 과목5
CLASP	Comprehensive, Lightweight Application Security Process	기존 개발 프로세스에 보안 활동을 통합할 수 있도록 만든 Secure SDLC 방법론	기존 개발 프로세스에 보안 활동만 끼워 넣는 경량 접근.	5-8 Secure SDLC · 시큐어 코딩 (5과목)	유형_약어 과목5
SDL	Security Development Lifecycle	마이크로소프트가 자체 수립한 Secure SDLC 방법론	마이크로소프트가 윈도우 개발에 적용한 보안 생명주기.	5-8 Secure SDLC · 시큐어 코딩 (5과목)	유형_약어 과목5
OTP	One Time Password	한 번만 사용할 수 있는 일회용 비밀번호	은행 앱에서 30초마다 바뀌는 6자리 숫자.	5-9 정보보안 기초 · 인증 (5과목)	유형_약어 과목5
ISMS	Information Security Management System	조직의 정보보호 관리 체계를 인증하는 제도	국내 기업이 받는 정보보호 관리체계 인증 — 개인정보까지 합친 ISMS-P.	5-9 정보보안 기초 · 인증 (5과목)	유형_약어 과목5
DES	Data Encryption Standard	블록 크기 64비트, 키 길이 56비트의 대칭키 블록 암호 알고리즘	1970~90년대 미국 표준 — 이제는 키가 짧아 쓰지 않는다.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
3DES	Triple DES	DES를 세 번 적용해 키 길이를 늘린 대칭키 알고리즘	DES를 세 번 겹쳐 키 길이를 늘린 과도기 방식.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
AES	Advanced Encryption Standard	블록 크기 128비트, 키 길이 128/192/256비트의 미국 표준 대칭키 알고리즘	HTTPS·디스크 암호화·WPA2 — 지금 가장 널리 쓰이는 대칭키.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
IDEA	International Data Encryption Algorithm	블록 크기 64비트, 키 길이 128비트의 대칭키 알고리즘	초기 PGP 메일 암호화에 쓰였던 스위스 알고리즘.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
RSA	Rivest Shamir Adleman	큰 수의 소인수분해가 어렵다는 점을 이용한 공개키 암호 알고리즘	공동인증서, HTTPS 인증서 서명 — 큰 수 소인수분해의 어려움을 이용.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
ECC	Elliptic Curve Cryptography	타원 곡선의 이산대수 문제를 이용한 공개키 암호 알고리즘	모바일·IoT — RSA보다 짧은 키로 같은 안전성을 낸다.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
SHA	Secure Hash Algorithm	미국 NIST가 표준화한 해시 함수군	파일 배포 페이지의 SHA-256 체크섬으로 변조를 확인한다.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
MD5	Message Digest 5	128비트 해시값을 출력하는 해시 함수	옛 파일 무결성 검사에 쓰였으나 충돌이 발견돼 보안 용도로는 금지.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
LEA	Lightweight Encryption Algorithm	국내에서 개발한 경량 고속 블록 암호 알고리즘	모바일·IoT를 위해 국내에서 만든 경량 고속 블록 암호.	5-10 암호화 알고리즘 (5과목)	유형_약어 과목5
DoS	Denial of Service	대상 시스템의 자원을 소진시켜 정상 서비스를 방해하는 서비스 거부 공격	한 대에서 대량 요청을 보내 서비스를 마비시킨다.	5-11 서비스 공격 유형 (5과목)	유형_약어 과목5
Bonk	Bonk / Boink	패킷의 시퀀스 번호를 조작해 재전송과 재조립 부담을 유발하는 DoS 공격	시퀀스 번호를 반복하거나 빠뜨려 재조립을 방해한다.	5-11 서비스 공격 유형 (5과목)	유형_약어 과목5
DDoS	Distributed Denial of Service	여러 대의 감염된 좀비 PC를 이용해 동시에 서비스 거부 공격을 수행하는 방식	감염된 좀비 PC 수만 대가 동시에 한 사이트를 때린다.	5-11 서비스 공격 유형 (5과목)	유형_약어 과목5
TFN	Tribe Flood Network	트리누를 개선한 DDoS 공격 도구	트리누를 개선한 도구 — TFN2K는 통신을 암호화한다.	5-11 서비스 공격 유형 (5과목)	유형_약어 과목5
APT	Advanced Persistent Threat	특정 대상을 겨냥해 장기간 지속적으로 침투를 시도하는 지능형 지속 위협	특정 기업만 노려 몇 달간 조용히 침투해 설계도를 빼낸다.	5-11 서비스 공격 유형 (5과목)	유형_약어 과목5
IDS	Intrusion Detection System	네트워크나 시스템의 침입 시도를 탐지해 알리는 침입 탐지 시스템	비정상 트래픽을 발견하면 관리자에게 경고를 보낸다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
HIDS	Host-Based Intrusion Detection System	호스트에 설치되어 운영체제의 사용자 계정별 접근과 작업 기록을 남기고 추적하는 IDS	서버에 에이전트를 깔아 계정별 접근과 파일 변경을 추적한다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
NIDS	Network-Based Intrusion Detection System	네트워크 트래픽을 감시해 침입을 탐지하는 IDS	스위치 미러링 포트에 붙여 지나가는 트래픽을 검사한다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
IPS	Intrusion Prevention System	침입을 탐지하고 즉시 차단까지 수행하는 침입 방지 시스템	탐지하는 순간 그 연결을 끊어 버린다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
DMZ	Demilitarized Zone	외부 인터넷에 서비스를 제공하는 서버가 위치하는 완충 네트워크 구간	외부에 공개하는 웹서버를 내부망과 분리된 완충 구간에 둔다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
VPN	Virtual Private Network	공중망에 암호화된 터널을 만들어 사설망처럼 사용하는 기술	재택근무자가 암호화 터널로 사내망에 접속한다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
NAC	Network Access Control	네트워크에 접속하는 단말의 보안 상태를 검사해 접근을 통제하는 솔루션	백신이 최신이 아닌 노트북은 사내 와이파이 접속을 막는다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
ESM	Enterprise Security Management	여러 보안 솔루션의 로그를 통합 수집·분석·관리하는 시스템	방화벽·IDS·서버 로그를 한 화면에 모아 관리한다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
SIEM	Security Information and Event Management	보안 정보와 이벤트를 실시간 수집·상관 분석해 위협을 탐지하는 시스템	여러 장비 로그를 상관 분석해 「같은 IP가 방화벽·서버·DB에서 연달아 실패」를 잡아낸다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
DLP	Data Loss Prevention	내부 정보의 외부 유출을 감시·차단하는 데이터 유출 방지 솔루션	주민번호가 든 파일이 메일이나 USB로 나가는 것을 차단한다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
WAF	Web Application Firewall	웹 애플리케이션 계층의 공격을 탐지·차단하는 웹 방화벽	SQL 삽입·XSS 패턴이 든 HTTP 요청을 웹 앞단에서 걸러낸다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
WPA	Wi-Fi Protected Access	Wi-Fi 얼라이언스가 제정한 무선 랜 인증 및 암호화 관련 표준	와이파이 비밀번호 설정 화면의 보안 방식 선택 항목 그 자체.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
WEP	Wired Equivalent Privacy	초기 무선 랜 보안 표준으로 RC4 스트림 암호를 사용	RC4 기반 초기 방식 — 몇 분 안에 뚫려 지금은 쓰면 안 된다.	5-12 보안 솔루션 · 로그 분석 (5과목)	유형_약어 과목5
