#separator:tab
#html:false
#columns:짝	용어A	정의A	상세A	사례A	용어B	정의B	상세B	사례B	함정	위치	태그
스탬프 결합도 vs 자료 결합도	스탬프 결합도	모듈 간 인터페이스로 배열이나 레코드 같은 자료 구조가 전달될 때의 결합도	자료 구조 전체가 넘어가므로 필요 없는 필드까지 노출된다.	주소·연락처까지 든 Member 객체 전체를 넘기지만 실제로는 이름만 쓴다.	자료 결합도	모듈 간 인터페이스가 자료 요소(파라미터)로만 구성된 가장 약한 결합도	가장 이상적인 결합 형태다. 배열이나 구조체가 전달되면 스탬프 결합도가 된다.	calcVat(amount) 처럼 값 하나만 넘겨받는 함수.	자료 구조 전달 = 스탬프. | 자료와 스탬프의 구별.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
내용 결합도 vs 제어 결합도	내용 결합도	한 모듈이 다른 모듈의 내부 기능이나 내부 자료를 직접 참조·수정하는 가장 강한 결합도	가장 나쁜 결합 형태다. 제어 결합도와 헷갈리게 서술하는 문제가 나온다.	다른 모듈의 private 필드를 리플렉션으로 직접 바꿔 버린다.	제어 결합도	제어 신호(플래그)를 전달해 다른 모듈의 처리 흐름에 간섭하는 결합도	제어 요소가 상하 관계를 뒤바꾸는 권리 전도 현상이 생길 수 있다.	process(data, isTest) 처럼 플래그로 상대의 처리 흐름을 조종한다.	가장 강한 결합도를 고르게 한다. | 제어 신호 전달을 내용 결합도로 잘못 연결하는 함정이 잦다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
외부 결합도 vs 제어 결합도	외부 결합도	한 모듈에서 선언한 데이터를 다른 모듈이 참조할 때의 결합도	외부에서 도입된 데이터 형식·통신 프로토콜을 공유하는 경우다.	여러 모듈이 같은 통신 프로토콜 포맷이나 외부 상수를 공유한다.	제어 결합도	제어 신호(플래그)를 전달해 다른 모듈의 처리 흐름에 간섭하는 결합도	제어 요소가 상하 관계를 뒤바꾸는 권리 전도 현상이 생길 수 있다.	process(data, isTest) 처럼 플래그로 상대의 처리 흐름을 조종한다.	외부와 공통의 구별. 공통은 전역 변수다. | 제어 신호 전달을 내용 결합도로 잘못 연결하는 함정이 잦다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
공통 결합도 vs 외부 결합도	공통 결합도	여러 모듈이 하나의 공통 데이터 영역(전역 변수)을 사용할 때의 결합도	전역 변수가 바뀌면 이를 쓰는 모든 모듈이 영향을 받는다.	전역 설정 객체 CONFIG 를 열 개 모듈이 함께 읽고 쓴다.	외부 결합도	한 모듈에서 선언한 데이터를 다른 모듈이 참조할 때의 결합도	외부에서 도입된 데이터 형식·통신 프로토콜을 공유하는 경우다.	여러 모듈이 같은 통신 프로토콜 포맷이나 외부 상수를 공유한다.	전역 변수 = 공통 결합도. | 외부와 공통의 구별. 공통은 전역 변수다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
기능적 응집도 vs 응집도	기능적 응집도	모듈 내 모든 요소가 하나의 단일 기능을 수행하는 가장 강한 응집도	가장 이상적이다. 하나의 목적을 위해 모든 요소가 협력한다.	calcOrderTotal() 안의 모든 줄이 오직 합계 계산을 위해서만 존재한다.	응집도	모듈 내부의 요소들이 서로 관련되어 있는 정도	약한 것부터 강한 순서는 우연적 → 논리적 → 시간적 → 절차적 → 통신적 → 순차적 → 기능적이다. 높을수록 좋다.	「회원 관련만」 모아 둔 클래스는 응집도가 높고, 「유틸」이라 이름 붙은 잡동사니는 낮다.	가장 강한 응집도를 고르게 한다. | 7종의 순서를 묻는다. 기능적이 가장 강하다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
우연적 응집도 vs 응집도	우연적 응집도	서로 관련 없는 요소들이 우연히 모인 가장 약한 응집도	가장 나쁜 응집 형태다.	Utils 클래스에 날짜 포맷·엑셀 변환·랜덤 생성이 아무 관련 없이 섞여 있다.	응집도	모듈 내부의 요소들이 서로 관련되어 있는 정도	약한 것부터 강한 순서는 우연적 → 논리적 → 시간적 → 절차적 → 통신적 → 순차적 → 기능적이다. 높을수록 좋다.	「회원 관련만」 모아 둔 클래스는 응집도가 높고, 「유틸」이라 이름 붙은 잡동사니는 낮다.	가장 약한 응집도를 고르게 한다. | 7종의 순서를 묻는다. 기능적이 가장 강하다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
순차적 응집도 vs 절차적 응집도	순차적 응집도	앞 요소의 출력이 뒤 요소의 입력으로 사용되는 응집도	활동이 순서대로 연결되고 데이터가 이어진다. 절차적 응집도는 순서만 있고 데이터 연결이 없다.	「파싱 → 검증 → 저장」에서 앞의 결과를 뒤가 그대로 받아 쓴다.	절차적 응집도	다수의 관련 기능을 순차적으로 수행하나 요소끼리 데이터 연결은 없는 응집도	순서만 정해져 있고 데이터를 주고받지 않는다.	「로그 남기기 → 캐시 비우기 → 세션 정리」를 순서대로만 부른다.	순차적과 절차적의 구별. | 순차적과의 구별.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
순차적 응집도 vs 통신적 응집도	순차적 응집도	앞 요소의 출력이 뒤 요소의 입력으로 사용되는 응집도	활동이 순서대로 연결되고 데이터가 이어진다. 절차적 응집도는 순서만 있고 데이터 연결이 없다.	「파싱 → 검증 → 저장」에서 앞의 결과를 뒤가 그대로 받아 쓴다.	통신적 응집도	동일한 입력과 출력을 사용하는 서로 다른 기능들이 모인 응집도	데이터는 같지만 기능은 다르다.	같은 주문 데이터로 「메일 발송」과 「통계 기록」을 각각 한다.	순차적과 절차적의 구별. | 응집도 7종 나열형.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
시간적 응집도 vs 절차적 응집도	시간적 응집도	특정 시점에 함께 실행되는 요소들이 모인 응집도	초기화 모듈, 종료 처리 모듈이 대표 예시다.	앱 시작 시 필요한 초기화를 한 함수에 모아 둔 init().	절차적 응집도	다수의 관련 기능을 순차적으로 수행하나 요소끼리 데이터 연결은 없는 응집도	순서만 정해져 있고 데이터를 주고받지 않는다.	「로그 남기기 → 캐시 비우기 → 세션 정리」를 순서대로만 부른다.	응집도 7종 나열형. | 순차적과의 구별.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
논리적 응집도 vs 시간적 응집도	논리적 응집도	유사한 성격이나 특정 형태로 분류되는 요소들이 모인 응집도	비슷해 보이지만 실제로는 관련 없는 기능들이 한 모듈에 있다.	「파일 처리」라는 이름으로 읽기·쓰기·압축·삭제를 한 클래스에 몰아넣었다.	시간적 응집도	특정 시점에 함께 실행되는 요소들이 모인 응집도	초기화 모듈, 종료 처리 모듈이 대표 예시다.	앱 시작 시 필요한 초기화를 한 함수에 모아 둔 init().	응집도 7종 나열형. | 응집도 7종 나열형.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
팬아웃 vs 팬인	팬아웃	어떤 모듈이 호출하는 하위 모듈의 수, 즉 나가는 화살표 수	팬아웃이 높으면 불필요한 모듈 호출이 없는지 검토해 단순화해야 한다.	주문 서비스가 회원·재고·결제·알림·정산 다섯 모듈을 다 부른다 — 팬아웃이 높다.	팬인	어떤 모듈을 호출하는 상위 모듈의 수, 즉 들어오는 화살표 수	팬인이 높으면 재사용성이 좋지만 오류 파급이 크므로 철저한 관리와 테스트가 필요하다.	StringUtils.isEmpty() 는 온 프로젝트가 부른다 — 팬인이 매우 높다.	팬인과 팬아웃을 바꿔 낸다. | 화살표를 세게 하고, 팬인이 높을 때의 조치를 묻는다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
공통 모듈 vs 재사용	공통 모듈	여러 프로그램에서 공통으로 사용할 수 있도록 분리한 재사용 단위	명세 기법 5원칙은 정확성, 명확성, 완전성, 일관성, 추적성이다.	로그·암복호화·날짜 유틸을 공통 모듈로 빼서 전 프로젝트가 함께 쓴다.	재사용	이미 개발된 기능이나 컴포넌트를 다시 사용해 개발 생산성을 높이는 것	규모에 따라 함수·객체 재사용, 컴포넌트 재사용, 애플리케이션 재사용으로 나뉜다.	사내 공통 라이브러리를 만들어 20개 프로젝트가 함께 쓴다.	명세 기법 5원칙 나열형. | 재사용 규모 3단계 나열형.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
계층화 패턴 vs 클라이언트 서버 패턴	계층화 패턴	시스템을 상하 계층으로 나누고 인접 계층끼리만 상호작용하게 하는 아키텍처 패턴	OSI 참조 모델이 대표 예시다. 각 계층은 하위 계층의 서비스를 사용한다.	Controller → Service → Repository 로 층을 나누고 인접 층만 부른다.	클라이언트 서버 패턴	하나의 서버가 다수 클라이언트에게 서비스를 제공하는 아키텍처 패턴	서버는 항상 대기하고 클라이언트가 요청한다. 사용자는 서버의 위치를 알아야 한다.	브라우저가 요청하고 웹서버가 응답하는 가장 흔한 구조.	아키텍처 패턴 종류와 예시를 짝짓게 한다. | 패턴 종류 나열형.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
MVC 패턴 vs 계층화 패턴	MVC 패턴	기능을 모델·뷰·컨트롤러로 분리한 아키텍처 패턴	모델은 데이터와 로직, 뷰는 화면 표현, 컨트롤러는 입력 처리와 중재를 맡는다. 각 부분이 독립적이라 병행 개발이 가능하다.	Spring 에서 Controller가 요청을 받고 Service·Entity가 로직을, JSP가 화면을 맡는다.	계층화 패턴	시스템을 상하 계층으로 나누고 인접 계층끼리만 상호작용하게 하는 아키텍처 패턴	OSI 참조 모델이 대표 예시다. 각 계층은 하위 계층의 서비스를 사용한다.	Controller → Service → Repository 로 층을 나누고 인접 층만 부른다.	세 요소의 역할을 바꿔 낸다. | 아키텍처 패턴 종류와 예시를 짝짓게 한다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
클라이언트 서버 패턴 vs 피어 투 피어 패턴	클라이언트 서버 패턴	하나의 서버가 다수 클라이언트에게 서비스를 제공하는 아키텍처 패턴	서버는 항상 대기하고 클라이언트가 요청한다. 사용자는 서버의 위치를 알아야 한다.	브라우저가 요청하고 웹서버가 응답하는 가장 흔한 구조.	피어 투 피어 패턴	각 노드가 클라이언트와 서버 역할을 모두 수행하는 아키텍처 패턴	파일 공유 네트워크가 예시다. 중앙 서버가 없다.	토렌트에서 내가 받으면서 동시에 남에게 올려 준다.	패턴 종류 나열형. | 중앙 서버 유무로 구별.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
인터프리터 패턴 vs 파이프 필터 패턴	인터프리터 패턴	프로그램 코드의 각 라인을 해석해 수행하는 아키텍처 패턴	SQL 처리, 통신 프로토콜 정의에 쓴다.	DB 엔진이 SQL 문장을 한 줄씩 해석해 실행한다.	파이프 필터 패턴	데이터를 필터로 변환하고 파이프로 전달하는 아키텍처 패턴	UNIX 셸 파이프가 예시다. 필터 재사용성이 높고 필터 교체로 재구성이 쉽다.	cat log.txt | grep ERROR | sort | uniq -c 처럼 결과를 다음으로 흘린다.	패턴 종류 나열형. | 패턴 종류와 예시를 짝짓게 한다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
MVC 패턴 vs MVVM	MVC 패턴	기능을 모델·뷰·컨트롤러로 분리한 아키텍처 패턴	모델은 데이터와 로직, 뷰는 화면 표현, 컨트롤러는 입력 처리와 중재를 맡는다. 각 부분이 독립적이라 병행 개발이 가능하다.	Spring 에서 Controller가 요청을 받고 Service·Entity가 로직을, JSP가 화면을 맡는다.	MVVM	뷰와 모델 사이에 뷰모델을 두어 데이터 바인딩으로 연결하는 아키텍처 패턴	MVC의 컨트롤러 대신 뷰모델이 상태를 관리한다.	안드로이드에서 ViewModel의 LiveData가 바뀌면 화면이 자동으로 갱신된다.	세 요소의 역할을 바꿔 낸다. | MVC와의 구성 요소 차이를 묻는다.	1-7 소프트웨어 아키텍처 · 공통 모듈 (1과목)	유형_혼동짝 과목1
디자인 패턴 vs 아키텍처 패턴	디자인 패턴	자주 발생하는 설계 문제에 대한 재사용 가능한 해결책 모음	GoF(Gang of Four)가 정리한 23개 패턴이 표준이다. 생성 5개, 구조 7개, 행위 11개로 나뉜다.	「객체를 하나만 만들어야 하는데」 같은 반복 문제에 이미 검증된 해법을 가져다 쓴다.	아키텍처 패턴	소프트웨어 전체 구조에 대해 검증된 설계 템플릿	계층화, 클라이언트 서버, 파이프 필터, MVC, 마스터 슬레이브, 브로커, 피어 투 피어, 이벤트 버스, 블랙보드, 인터프리터 패턴이 있다. 디자인 패턴보다 큰 단위다.	「계층화 + MVC」로 전체 골격을 잡고, 그 안에서 GoF 패턴으로 세부를 짠다.	분류별 개수(5-7-11)와 각 패턴이 어느 분류인지 묻는다. | 아키텍처 패턴과 디자인 패턴의 적용 범위를 구별하게 한다.	1-9 디자인 패턴 (GoF 23종) (1과목)	유형_혼동짝 과목1
객체 vs 클래스	객체	데이터와 그 데이터를 처리하는 함수를 묶은 소프트웨어 모듈	데이터는 속성(Attribute), 함수는 메소드(Method)라 한다. 독립적으로 식별 가능한 이름을 갖는다.	order 라는 변수 하나가 주문번호·금액(속성)과 cancel()(메소드)을 함께 갖는다.	클래스	공통 속성과 연산을 갖는 객체들의 집합, 즉 객체의 설계도	클래스에 속한 각각의 객체를 인스턴스(Instance)라 하고, 클래스로부터 객체를 만드는 것을 인스턴스화라 한다.	Order 클래스를 한 번 정의하고 하루에 수만 개의 order 객체를 찍어낸다.	객체와 클래스의 관계를 묻는다. | 클래스와 인스턴스의 관계를 바꿔 낸다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
객체 vs 인스턴스	객체	데이터와 그 데이터를 처리하는 함수를 묶은 소프트웨어 모듈	데이터는 속성(Attribute), 함수는 메소드(Method)라 한다. 독립적으로 식별 가능한 이름을 갖는다.	order 라는 변수 하나가 주문번호·금액(속성)과 cancel()(메소드)을 함께 갖는다.	인스턴스	클래스로부터 실제로 생성된 객체	클래스는 틀, 인스턴스는 틀로 찍어낸 실체다.	new Order() 를 세 번 하면 인스턴스 세 개가 생긴다.	객체와 클래스의 관계를 묻는다. | 용어 관계 문제.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
객체 vs 메소드	객체	데이터와 그 데이터를 처리하는 함수를 묶은 소프트웨어 모듈	데이터는 속성(Attribute), 함수는 메소드(Method)라 한다. 독립적으로 식별 가능한 이름을 갖는다.	order 라는 변수 하나가 주문번호·금액(속성)과 cancel()(메소드)을 함께 갖는다.	메소드	객체가 수행하는 동작을 정의한 함수	객체의 속성을 처리하는 부분이다. 메시지는 이 메소드의 실행을 요청하는 수단이므로 다르다.	Order 클래스의 cancel() 이 실제 취소 로직을 담은 함수다.	객체와 클래스의 관계를 묻는다. | 메소드와 메시지를 바꿔 낸다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
인스턴스 vs 클래스	인스턴스	클래스로부터 실제로 생성된 객체	클래스는 틀, 인스턴스는 틀로 찍어낸 실체다.	new Order() 를 세 번 하면 인스턴스 세 개가 생긴다.	클래스	공통 속성과 연산을 갖는 객체들의 집합, 즉 객체의 설계도	클래스에 속한 각각의 객체를 인스턴스(Instance)라 하고, 클래스로부터 객체를 만드는 것을 인스턴스화라 한다.	Order 클래스를 한 번 정의하고 하루에 수만 개의 order 객체를 찍어낸다.	용어 관계 문제. | 클래스와 인스턴스의 관계를 바꿔 낸다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
추상 클래스 vs 클래스	추상 클래스	구현되지 않은 추상 메소드를 포함해 직접 인스턴스를 만들 수 없는 클래스	하위 클래스가 반드시 구현해야 할 규약을 정의한다. 인터페이스는 구현을 전혀 갖지 않는다.	Payment 에 pay() 를 추상으로 두면 자식이 반드시 구현해야 한다 — 자신은 new 할 수 없다.	클래스	공통 속성과 연산을 갖는 객체들의 집합, 즉 객체의 설계도	클래스에 속한 각각의 객체를 인스턴스(Instance)라 하고, 클래스로부터 객체를 만드는 것을 인스턴스화라 한다.	Order 클래스를 한 번 정의하고 하루에 수만 개의 order 객체를 찍어낸다.	인스턴스 생성 불가라는 특성을 묻는다. | 클래스와 인스턴스의 관계를 바꿔 낸다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
메소드 vs 메시지	메소드	객체가 수행하는 동작을 정의한 함수	객체의 속성을 처리하는 부분이다. 메시지는 이 메소드의 실행을 요청하는 수단이므로 다르다.	Order 클래스의 cancel() 이 실제 취소 로직을 담은 함수다.	메시지	객체에게 특정 서비스를 요청하기 위해 전달하는 수단	수신 객체 이름, 메소드 이름, 매개변수로 구성된다. 메시지를 받으면 객체가 메소드를 수행한다.	order.cancel() 이라고 쓰는 순간 order에게 「취소해라」는 메시지를 보낸 것이다.	메소드와 메시지를 바꿔 낸다. | 메시지와 메소드를 바꿔 낸다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
상속 vs 캡슐화	상속	상위 클래스의 모든 속성과 연산을 하위 클래스가 물려받는 것	하위 클래스는 상속받은 것을 그대로 쓰거나 재정의(Overriding)할 수 있다. 다중 상속은 여러 상위 클래스로부터 물려받는 것이다.	Payment 를 상속한 CardPayment 가 공통 검증 로직을 그대로 물려받는다.	캡슐화	속성과 메소드를 하나로 묶고 인터페이스를 제외한 세부 내용을 감추는 것	외부 변경의 영향이 적어 유지보수가 쉬워지고 재사용성이 높아진다. 결합도는 낮아지고 인터페이스가 단순해진다.	balance 를 private 으로 감추고 deposit()·withdraw() 만 공개해 음수 입금을 막는다.	상속과 다형성을 바꿔 낸다. | 묶다·경계·인터페이스만 노출이라는 표현이 나오면 캡슐화.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
다형성 vs 캡슐화	다형성	하나의 메시지에 대해 객체마다 고유한 방법으로 응답할 수 있는 능력	같은 이름의 메소드가 클래스에 따라 다르게 동작한다. 오버로딩과 오버라이딩으로 구현한다.	결제수단 목록을 돌며 pay() 를 부르면 카드는 카드대로, 계좌는 계좌대로 동작한다.	캡슐화	속성과 메소드를 하나로 묶고 인터페이스를 제외한 세부 내용을 감추는 것	외부 변경의 영향이 적어 유지보수가 쉬워지고 재사용성이 높아진다. 결합도는 낮아지고 인터페이스가 단순해진다.	balance 를 private 으로 감추고 deposit()·withdraw() 만 공개해 음수 입금을 막는다.	하나의 메시지, 각각 고유한 방법이라는 문장을 캡슐화로 오답 유도한다. | 묶다·경계·인터페이스만 노출이라는 표현이 나오면 캡슐화.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
다형성 vs 상속	다형성	하나의 메시지에 대해 객체마다 고유한 방법으로 응답할 수 있는 능력	같은 이름의 메소드가 클래스에 따라 다르게 동작한다. 오버로딩과 오버라이딩으로 구현한다.	결제수단 목록을 돌며 pay() 를 부르면 카드는 카드대로, 계좌는 계좌대로 동작한다.	상속	상위 클래스의 모든 속성과 연산을 하위 클래스가 물려받는 것	하위 클래스는 상속받은 것을 그대로 쓰거나 재정의(Overriding)할 수 있다. 다중 상속은 여러 상위 클래스로부터 물려받는 것이다.	Payment 를 상속한 CardPayment 가 공통 검증 로직을 그대로 물려받는다.	하나의 메시지, 각각 고유한 방법이라는 문장을 캡슐화로 오답 유도한다. | 상속과 다형성을 바꿔 낸다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
상속 vs 오버라이딩	상속	상위 클래스의 모든 속성과 연산을 하위 클래스가 물려받는 것	하위 클래스는 상속받은 것을 그대로 쓰거나 재정의(Overriding)할 수 있다. 다중 상속은 여러 상위 클래스로부터 물려받는 것이다.	Payment 를 상속한 CardPayment 가 공통 검증 로직을 그대로 물려받는다.	오버라이딩	상위 클래스에서 정의한 메소드를 하위 클래스에서 재정의하는 것	상속 관계에서 이루어지며 이름과 매개변수가 모두 같다. 실행 시점에 결정되므로 동적 다형성이라 한다.	부모의 toString() 을 자식이 자기 형식으로 다시 정의한다.	상속과 다형성을 바꿔 낸다. | 상속 관계 여부로 구별.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
다형성 vs 오버로딩	다형성	하나의 메시지에 대해 객체마다 고유한 방법으로 응답할 수 있는 능력	같은 이름의 메소드가 클래스에 따라 다르게 동작한다. 오버로딩과 오버라이딩으로 구현한다.	결제수단 목록을 돌며 pay() 를 부르면 카드는 카드대로, 계좌는 계좌대로 동작한다.	오버로딩	같은 이름의 메소드를 매개변수의 타입·개수를 달리해 여러 개 정의하는 것	한 클래스 안에서 이루어진다. 컴파일 시점에 결정되므로 정적 다형성이라 한다.	print(int), print(String), print(int,int) 를 같은 이름으로 여러 개 만든다.	하나의 메시지, 각각 고유한 방법이라는 문장을 캡슐화로 오답 유도한다. | 오버로딩과 오버라이딩을 바꿔 낸다. 이름은 같고 매개변수가 다른 것이 오버로딩.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
오버라이딩 vs 오버로딩	오버라이딩	상위 클래스에서 정의한 메소드를 하위 클래스에서 재정의하는 것	상속 관계에서 이루어지며 이름과 매개변수가 모두 같다. 실행 시점에 결정되므로 동적 다형성이라 한다.	부모의 toString() 을 자식이 자기 형식으로 다시 정의한다.	오버로딩	같은 이름의 메소드를 매개변수의 타입·개수를 달리해 여러 개 정의하는 것	한 클래스 안에서 이루어진다. 컴파일 시점에 결정되므로 정적 다형성이라 한다.	print(int), print(String), print(int,int) 를 같은 이름으로 여러 개 만든다.	상속 관계 여부로 구별. | 오버로딩과 오버라이딩을 바꿔 낸다. 이름은 같고 매개변수가 다른 것이 오버로딩.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
개방 폐쇄 원칙 vs 단일 책임 원칙	개방 폐쇄 원칙	클래스는 확장에 대해 열려 있고 변경에 대해 닫혀 있어야 한다는 원칙	기존 코드를 수정하지 않고 기능을 추가할 수 있도록 추상화와 다형성을 활용한다.	새 결제수단을 추가할 때 기존 결제 코드를 안 고치고 클래스만 하나 더 만든다.	단일 책임 원칙	객체는 단 하나의 책임만 가져야 한다는 설계 원칙	SOLID의 S다. 하나의 클래스만 변경 가능해야 한다처럼 왜곡한 문장이 오답 선택지로 나온다.	주문 클래스가 결제까지 처리하면 결제 정책이 바뀔 때 주문도 고쳐야 한다 — 분리한다.	확장과 변경의 방향을 바꿔 낸다. | SSO(Single Sign On)를 끼워 넣어 SOLID가 아닌 것을 고르게 한다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
단일 책임 원칙 vs 인터페이스 분리 원칙	단일 책임 원칙	객체는 단 하나의 책임만 가져야 한다는 설계 원칙	SOLID의 S다. 하나의 클래스만 변경 가능해야 한다처럼 왜곡한 문장이 오답 선택지로 나온다.	주문 클래스가 결제까지 처리하면 결제 정책이 바뀔 때 주문도 고쳐야 한다 — 분리한다.	인터페이스 분리 원칙	클라이언트는 자신이 사용하지 않는 메소드에 의존하지 않아야 한다는 원칙	큰 인터페이스를 목적별로 잘게 나눈다. DIP의 설명과 서로 바꿔 내는 함정이 잦다.	기능이 20개인 거대 인터페이스를 조회용·변경용으로 쪼개 필요한 것만 구현하게 한다.	SSO(Single Sign On)를 끼워 넣어 SOLID가 아닌 것을 고르게 한다. | ISP와 DIP를 서로 바꿔 서술한다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
SOLID vs 단일 책임 원칙	SOLID	객체지향 설계 5원칙의 머리글자를 모은 약어	SRP 단일 책임, OCP 개방 폐쇄, LSP 리스코프 치환, ISP 인터페이스 분리, DIP 의존 역전.	코드 리뷰 체크리스트에 다섯 원칙을 넣고 위반 지점을 지적한다.	단일 책임 원칙	객체는 단 하나의 책임만 가져야 한다는 설계 원칙	SOLID의 S다. 하나의 클래스만 변경 가능해야 한다처럼 왜곡한 문장이 오답 선택지로 나온다.	주문 클래스가 결제까지 처리하면 결제 정책이 바뀔 때 주문도 고쳐야 한다 — 분리한다.	SSO 같은 유사 약어를 끼워 넣는다. | SSO(Single Sign On)를 끼워 넣어 SOLID가 아닌 것을 고르게 한다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
개방 폐쇄 원칙 vs 의존 역전 원칙	개방 폐쇄 원칙	클래스는 확장에 대해 열려 있고 변경에 대해 닫혀 있어야 한다는 원칙	기존 코드를 수정하지 않고 기능을 추가할 수 있도록 추상화와 다형성을 활용한다.	새 결제수단을 추가할 때 기존 결제 코드를 안 고치고 클래스만 하나 더 만든다.	의존 역전 원칙	의존 관계를 맺을 때 추상성이 낮은 클래스보다 추상성이 높은 클래스와 의존해야 한다는 원칙	구체 클래스가 아니라 인터페이스·추상 클래스에 의존하도록 방향을 뒤집는다.	서비스가 MySQLRepository 대신 Repository 인터페이스에 의존해 DB를 갈아탈 수 있게 한다.	확장과 변경의 방향을 바꿔 낸다. | ISP의 설명과 바꿔 제시한다. 추상성이라는 단어가 있으면 DIP.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
의존 역전 원칙 vs 인터페이스 분리 원칙	의존 역전 원칙	의존 관계를 맺을 때 추상성이 낮은 클래스보다 추상성이 높은 클래스와 의존해야 한다는 원칙	구체 클래스가 아니라 인터페이스·추상 클래스에 의존하도록 방향을 뒤집는다.	서비스가 MySQLRepository 대신 Repository 인터페이스에 의존해 DB를 갈아탈 수 있게 한다.	인터페이스 분리 원칙	클라이언트는 자신이 사용하지 않는 메소드에 의존하지 않아야 한다는 원칙	큰 인터페이스를 목적별로 잘게 나눈다. DIP의 설명과 서로 바꿔 내는 함정이 잦다.	기능이 20개인 거대 인터페이스를 조회용·변경용으로 쪼개 필요한 것만 구현하게 한다.	ISP의 설명과 바꿔 제시한다. 추상성이라는 단어가 있으면 DIP. | ISP와 DIP를 서로 바꿔 서술한다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
럼바우 방법 vs 부치 방법	럼바우 방법	객체 모델링·동적 모델링·기능 모델링 순으로 분석하는 객체지향 분석 방법론	OMT라고도 한다. 객체 모델링(정보 모델링, 객체 다이어그램) → 동적 모델링(상태 다이어그램) → 기능 모델링(자료 흐름도) 순서다.	객체도로 구조를 잡고, 상태도로 동작을, 자료 흐름도로 기능을 차례로 분석한다.	부치 방법	미시적 개발 프로세스와 거시적 개발 프로세스를 모두 사용하는 객체지향 분석 방법	클래스와 객체를 분석·식별하고 인터페이스와 구현을 기술한다.	큰 흐름(거시)과 클래스 단위 작업(미시)을 같이 굴리며 분석한다.	세 모델링의 순서와 사용 도구를 묻는다. 객체-동적-기능 순. | 방법론 이름과 특징을 짝짓게 한다.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
럼바우 방법 vs 자콥슨 방법	럼바우 방법	객체 모델링·동적 모델링·기능 모델링 순으로 분석하는 객체지향 분석 방법론	OMT라고도 한다. 객체 모델링(정보 모델링, 객체 다이어그램) → 동적 모델링(상태 다이어그램) → 기능 모델링(자료 흐름도) 순서다.	객체도로 구조를 잡고, 상태도로 동작을, 자료 흐름도로 기능을 차례로 분석한다.	자콥슨 방법	유스케이스를 중심으로 분석을 진행하는 객체지향 분석 방법	유스케이스라는 단어가 나오면 자콥슨이다.	유스케이스를 먼저 뽑고 그것을 기준으로 클래스를 찾아간다.	세 모델링의 순서와 사용 도구를 묻는다. 객체-동적-기능 순. | 유스케이스 = 자콥슨.	1-8 객체지향 설계 (1과목)	유형_혼동짝 과목1
