#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
Git	Git	분산 저장소 방식의 버전 관리 시스템	로컬과 원격 저장소를 모두 가지므로 오프라인 작업이 가능하다. 리누스 토발즈가 개발했다.	로컬에서 커밋하고 비행기 안에서도 이력을 보다가 나중에 push 한다.	분산 — 내 컴퓨터에도 저장소가 통째로 있다.	Subversion / CVS / 분산 저장소 방식	중앙 집중형과 분산형을 구별하게 한다.	2-8 형상 관리 · 버전 관리 (2과목)	유형_용어 과목2 챕터_2_8
Subversion	Subversion, SVN	중앙 집중형 저장소 방식의 버전 관리 시스템	클라이언트-서버 구조로 서버의 저장소가 유일하다. CVS의 단점을 개선했다.	중앙 서버 저장소 하나에 모두가 붙어 작업하는 구형 SI 현장.	중앙 집중 — 서버가 없으면 이력도 못 본다.	Git / CVS / 공유 폴더 방식	중앙 집중형 = SVN, 분산형 = Git.	2-8 형상 관리 · 버전 관리 (2과목)	유형_용어 과목2 챕터_2_8
CVS	Concurrent Versions System	가장 오래된 클라이언트-서버 방식의 버전 관리 시스템	파일 단위로 관리하며 디렉터리 이동·삭제 이력 관리가 어렵다.	파일 단위로만 관리해 폴더 이동 이력이 남지 않던 가장 오래된 도구.	SVN의 조상.	Subversion / Git	버전 관리 도구 종류 나열형.	2-8 형상 관리 · 버전 관리 (2과목)	유형_용어 과목2 챕터_2_8
공유 폴더 방식	Shared Folder	개발자가 공유 폴더에 파일을 복사해 관리하는 가장 원시적인 버전 관리 방식	RCS, SCCS가 여기 속한다. 담당자가 매일 파일을 검토해 무결성을 확인해야 한다.	팀 공유 드라이브에 「최종_최종_v3.zip」을 올려 두는 그 방식.	RCS·SCCS — 담당자가 눈으로 확인해야 한다.	분산 저장소 방식 / Subversion	버전 관리 3가지 방식 분류.	2-8 형상 관리 · 버전 관리 (2과목)	유형_용어 과목2 챕터_2_8
분산 저장소 방식	Distributed Repository	원격 저장소와 로컬 저장소를 모두 두는 버전 관리 방식	Git, Bitkeeper가 대표적이다. 로컬에서 작업하고 원격에 반영한다.	Git 처럼 원격과 로컬 저장소를 둘 다 갖는 방식.	오프라인 작업이 되는 이유.	공유 폴더 방식 / Git	3가지 방식 분류.	2-8 형상 관리 · 버전 관리 (2과목)	유형_용어 과목2 챕터_2_8
체크아웃	Check-Out	저장소에서 파일을 자신의 작업 공간으로 받아 오는 명령	반대는 체크인(Check-In)으로 수정한 파일을 저장소에 반영하는 것이다.	git clone / svn checkout 으로 저장소 내용을 내 작업 폴더로 가져온다.	가져오기(Out) ↔ 반영하기(In).	커밋 / 머지	버전 관리 명령어의 의미를 묻는다.	2-8 형상 관리 · 버전 관리 (2과목)	유형_용어 과목2 챕터_2_8
커밋	Commit	체크인 시 이전 파일과 차이를 확인하고 문제가 없으면 갱신을 완료하는 명령	충돌(Conflict)이 발생하면 알림을 통해 해결한 뒤 커밋한다.	변경 내용을 확인하고 메시지를 달아 저장소에 확정 반영한다.	충돌이 나면 해결한 뒤 커밋.	체크아웃 / 머지	명령어 의미 문제.	2-8 형상 관리 · 버전 관리 (2과목)	유형_용어 과목2 챕터_2_8
머지	Merge	서로 다른 작업 내용을 하나로 합치는 버전 관리 명령	충돌(Conflict)이 발생하면 수동으로 해결해야 한다.	기능 브랜치를 main 에 합칠 때 같은 줄을 둘이 고쳤으면 충돌이 난다.	합치기 — 충돌은 사람이 풀어야 한다.	커밋 / 체크아웃 / Git	버전 관리 명령어 의미 문제.	2-8 형상 관리 · 버전 관리 (2과목)	유형_용어 과목2 챕터_2_8
빌드 자동화 도구	Build Automation Tool	소스 코드를 컴파일·테스트·패키징해 실행 가능한 결과물로 만드는 과정을 자동화한 도구	Ant, Maven, Gradle, Jenkins가 대표적이다. Jenkins는 CI 서버 역할을 겸한다.	커밋하면 컴파일·테스트·jar 생성까지 자동으로 도는 파이프라인.	Ant·Maven·Gradle·Jenkins.	Jenkins / Gradle / Maven	도구 이름을 고르게 한다.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
Jenkins	Jenkins	자바 기반의 대표적인 오픈소스 지속적 통합(CI) 서버	웹 기반 GUI를 제공하고 여러 빌드 도구·SCM과 연동한다. 서버 기반 도구라는 점이 특징이다.	사내 서버에 올려 두고 웹 화면으로 파이프라인을 돌리는 CI 서버. 포춘 500 기업 상당수가 여전히 이걸 쓴다.	서버 기반 = Jenkins. 요즘 신규 프로젝트는 GitHub Actions 로도 많이 간다.	Gradle / 빌드 자동화 도구 / 지속적 통합	서버 기반 = Jenkins.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
Gradle	Gradle	Groovy 기반 스크립트를 사용하는 빌드 자동화 도구	안드로이드 표준 빌드 도구다. Task 단위로 실행하며 이전 실행 결과를 재사용해 빠르다.	안드로이드 프로젝트의 build.gradle — Groovy·Kotlin 스크립트로 쓴다.	Groovy 스크립트 = Gradle. 안드로이드 표준.	Maven / Ant / Jenkins	Groovy 사용 = Gradle.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
지속적 통합	Continuous Integration, CI	개발자들의 변경 사항을 자주 통합·빌드·테스트하는 개발 방식	통합 오류를 조기에 발견한다. 배포까지 자동화하면 지속적 배포(CD)다.	하루에 여러 번 main 에 합치고 그때마다 자동 빌드·테스트를 돌린다.	CI는 통합·빌드·테스트까지.	Jenkins / 지속적 배포	CI와 CD의 구별.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
애플리케이션 패키징	Application Packaging	개발 완료된 제품을 사용자가 설치·사용할 수 있도록 묶는 작업	사용자 중심으로 진행하고, 모듈별 빌드 후 패키징한다. 다양한 실행 환경을 고려해야 한다.	앱을 apk/ipa 로, 서버를 docker 이미지로 묶어 설치 가능한 형태로 만든다.	사용자 중심 · 모듈별 빌드 후 패키징.	애플리케이션 배포 도구 / DRM	패키징 고려사항 4종 나열형.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
애플리케이션 배포 도구	Application Deployment Tool	패키징된 제품에 암호화·보안을 적용해 배포하는 도구	고려사항은 암호화·복호화 효율성, 이기종 연동, 사용자 편의성, 배포 환경 다양성이다.	패키징한 결과에 암호화·서명을 붙여 스토어나 서버로 내보낸다.	암복호화 효율·이기종 연동·편의성·환경 다양성.	DRM / 애플리케이션 패키징	배포 도구 고려사항 나열형.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
DRM	Digital Rights Management	디지털 콘텐츠의 불법 복제를 막고 사용 권한을 관리하는 기술	구성 요소는 콘텐츠 제공자, 콘텐츠 분배자, 패키저(Packager), 클리어링 하우스(Clearing House), DRM 컨트롤러, 보안 컨테이너다.	교보 eBook 을 구매 기기에서만 열 수 있게 하는 저작권 보호 장치.	패키저·클리어링하우스·DRM컨트롤러·보안컨테이너.	클리어링 하우스 / 패키저 / 워터마킹	구성 요소 이름과 역할을 짝짓게 한다.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
클리어링 하우스	Clearing House	DRM에서 키 관리와 라이선스 발급을 담당하는 정산소	저작권 사용 권한과 라이선스 발급, 사용량에 따른 정산을 수행한다.	eBook 을 열 때 라이선스를 발급하고 사용량을 정산해 주는 서버.	정산소 — 키 관리와 라이선스 발급.	DRM / 패키저	DRM 구성 요소 중 라이선스 발급 담당.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
패키저	Packager	DRM에서 콘텐츠를 암호화된 보안 컨테이너 형태로 묶는 프로그램	콘텐츠와 메타 데이터를 함께 패키징한다.	원본 콘텐츠를 암호화된 보안 컨테이너로 묶어 주는 프로그램.	포장(Package)하는 쪽.	클리어링 하우스 / DRM	DRM 구성 요소 나열형.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
워터마킹	Watermarking	콘텐츠에 저작권 정보를 눈에 보이지 않게 삽입하는 기술	DRM 기술 요소 중 하나다. 핑거프린팅은 구매자 정보까지 삽입해 유출 경로를 추적한다.	방송 화면 구석에 눈에 잘 안 띄는 로고를 심어 출처를 남긴다.	저작권 정보만 넣는다.	핑거프린팅 / DRM	워터마킹과 핑거프린팅의 구별.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
핑거프린팅	Fingerprinting	콘텐츠에 저작권 정보와 구매자 정보를 함께 삽입해 불법 유포자를 추적하는 기술	워터마킹의 확장으로 구매자 식별이 가능하다.	같은 영상이라도 구매자마다 다른 표식을 심어 유출자를 특정한다.	구매자 정보까지 넣어 「지문」을 남긴다.	워터마킹 / DRM	구매자 정보 포함 = 핑거프린팅.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
애플리케이션 모니터링 도구	Application Performance Management, APM	운영 중인 애플리케이션의 성능·상태를 감시하는 도구	변경 관리, 성능 관리, 정적 분석, 애플리케이션 성능 관리 유형으로 나뉜다. Scouter, Nagios, Zabbix가 예시다.	Scouter·제니퍼로 응답 시간과 힙 사용량을 실시간 감시한다.	APM — 운영 중 성능 감시.	APM / 빌드 자동화 도구	모니터링 도구 유형과 예시를 짝짓게 한다.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
Maven	Maven	XML 기반 pom 파일로 의존성과 빌드를 관리하는 자바 빌드 자동화 도구	의존성 자동 다운로드가 특징이다. Gradle은 Groovy 스크립트를 쓴다.	pom.xml 에 의존성만 적으면 라이브러리를 알아서 내려받는다.	XML pom = Maven.	Gradle / Ant / 빌드 자동화 도구	도구별 설정 파일 형식을 묻는다.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
Ant	Apache Ant	XML 기반 빌드 스크립트를 사용하는 초기 자바 빌드 자동화 도구	의존성 관리 기능이 없어 Maven으로 대체되었다.	build.xml 로 컴파일 순서를 직접 다 써야 했던 초기 도구.	의존성 관리 기능이 없어 Maven에 밀렸다.	Maven / Gradle	도구 나열형.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
지속적 배포	Continuous Deployment, CD	빌드와 테스트를 통과한 코드를 자동으로 운영 환경까지 배포하는 방식	CI가 통합·빌드까지, CD가 배포까지 담당한다.	테스트를 통과하면 사람 손 없이 운영 서버까지 자동으로 올라간다.	CI는 통합까지, CD는 배포까지.	지속적 통합 / Jenkins	CI와 CD의 범위를 구별하게 한다.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_용어 과목2 챕터_2_9
ISO/IEC 9126	ISO/IEC 9126	소프트웨어 품질 특성과 평가 기준을 정의한 국제 표준	6가지 품질 특성은 기능성, 신뢰성, 사용성, 효율성, 유지보수성, 이식성이다. ISO/IEC 25010으로 개정되었다.	RFP 에 「사용성·이식성 기준을 만족해야 한다」를 근거로 인용한다.	기·신·사·효·유·이 6가지.	ISO/IEC 25010 / ISO/IEC 12119 / 기능성	6가지 품질 특성 나열형. 이식성이 포함된다.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
기능성	Functionality	요구된 기능을 정확하고 안전하게 수행하는 품질 특성	부특성은 적절성(합목적성), 정밀성(정확성), 상호 운용성, 보안성, 호환성이다.	요구한 기능이 정확히 동작하고 보안까지 지켜지는가.	적절성·정밀성·상호운용성·보안성·호환성.	신뢰성 / 사용성	부특성 나열형.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
신뢰성	Reliability	요구된 기능을 지정된 조건에서 오류 없이 지속 수행하는 품질 특성	부특성은 성숙성, 고장 허용성(장애 허용성), 회복성이다.	3일 연속 무중단 부하 테스트에서 한 번도 죽지 않는가.	성숙성·고장 허용성·회복성.	기능성 / 효율성	부특성 나열형.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
사용성	Usability	사용자가 이해하고 배우고 사용하기 쉬운 정도의 품질 특성	부특성은 이해성, 학습성, 운용성, 친밀성이다. UI 설계 원칙과 이름이 겹친다.	처음 쓰는 사람이 헤매지 않고 목표를 달성하는가.	이해성·학습성·운용성·친밀성.	기능성 / 학습성	UI 4대 원칙과 혼동 유도.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
효율성	Efficiency	자원을 최소로 사용하면서 요구 기능을 수행하는 품질 특성	부특성은 시간 효율성, 자원 효율성이다.	같은 작업을 더 적은 CPU·메모리로 처리하는가.	시간 효율성·자원 효율성.	신뢰성 / 유지보수성	부특성 나열형.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
유지보수성	Maintainability	소프트웨어를 쉽게 수정·개선할 수 있는 정도의 품질 특성	부특성은 분석성, 변경성, 안정성, 시험성이다.	요구가 바뀌었을 때 코드를 얼마나 쉽게 고칠 수 있는가.	분석성·변경성·안정성·시험성.	이식성 / 효율성	부특성 나열형.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
이식성	Portability	다른 환경으로 쉽게 옮겨 사용할 수 있는 정도의 품질 특성	부특성은 적용성(적응성), 설치성, 대체성, 공존성이다. 재공학의 이식(Migration)과 개념이 통한다.	온프레미스에서 만든 시스템을 클라우드로 옮길 수 있는가.	적용성·설치성·대체성·공존성.	이식 / 유지보수성	6가지 품질 특성 나열형.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
ISO/IEC 25010	ISO/IEC 25010	ISO/IEC 9126을 개정한 소프트웨어 제품 품질 표준	8가지 특성으로 확장했다. 기능 적합성, 성능 효율성, 호환성, 사용성, 신뢰성, 보안성, 유지보수성, 이식성이다.	9126을 개정해 보안성과 호환성을 독립 특성으로 끌어올렸다.	9126은 6개, 25010은 8개.	ISO/IEC 9126 / ISO/IEC 25000	6개(9126)와 8개(25010)의 차이를 묻는다.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
ISO/IEC 12119	ISO/IEC 12119	패키지 소프트웨어의 품질 요구사항과 테스트를 다룬 국제 표준	제품 설명서, 사용자 문서, 프로그램(실행 프로그램) 3가지를 평가한다.	상용 패키지 SW를 살 때 제품 설명서·사용자 문서·프로그램을 평가한다.	패키지 소프트웨어 전용 표준.	ISO/IEC 9126 / ISO/IEC 14598	패키지 소프트웨어 = 12119.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
ISO/IEC 14598	ISO/IEC 14598	소프트웨어 제품 평가 프로세스와 평가자·개발자별 지침을 정의한 국제 표준	반복성, 재현성, 공정성, 객관성을 평가 요건으로 요구한다.	평가자가 누구든 같은 결과가 나오게 평가 절차를 규정한다.	반복성·재현성·공정성·객관성.	ISO/IEC 9126 / ISO/IEC 12119	평가 프로세스 = 14598.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
ISO/IEC 25000	ISO/IEC 25000, SQuaRE	소프트웨어 품질 평가 통합 모델 표준	9126과 14598을 통합했다. 2500n 관리, 2501n 품질 모델, 2502n 품질 측정, 2503n 품질 요구, 2504n 품질 평가로 구성된다.	9126과 14598을 합친 통합 모델 — SQuaRE 라 부른다.	통합 = 25000(SQuaRE).	ISO/IEC 25010 / ISO/IEC 14598	통합 모델 = 25000(SQuaRE).	2-10 국제 표준 제품 품질 특성 (2과목)	유형_용어 과목2 챕터_2_10
소프트웨어 테스트	Software Testing	결함을 찾아내기 위해 소프트웨어를 실행·검토하는 활동	기본 원리는 결함 존재 증명, 완벽한 테스트 불가능, 개발 초기에 시작, 결함 집중(파레토 법칙), 살충제 패러독스, 정황 의존성, 오류 부재의 궤변이다.	출시 전 2주간 시나리오 200건을 돌려 결함 40건을 잡아낸다.	7원리 — 결함 존재 증명·완벽 불가·초기 시작·결함 집중·살충제·정황·오류 부재의 궤변.	살충제 패러독스 / 결함 집중 / 오류 부재의 궤변	7가지 기본 원리 나열형.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
살충제 패러독스	Pesticide Paradox	동일한 테스트 케이스를 반복하면 더 이상 새로운 결함을 찾지 못하는 현상	테스트 케이스를 정기적으로 검토·개선해야 한다.	6개월째 같은 회귀 테스트만 돌리니 더 이상 새 버그가 안 잡힌다.	같은 약을 계속 쓰면 벌레가 내성을 얻는다.	결함 집중 / 테스트 케이스	현상 이름과 정의를 짝짓게 한다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
결함 집중	Defect Clustering	적은 수의 모듈에 대부분의 결함이 모여 있는 현상	파레토 법칙(80대 20 법칙)이 적용된다.	전체 버그의 80%가 결제·정산 두 모듈에서 나온다.	파레토 — 소수 모듈에 몰린다.	살충제 패러독스 / 파레토 법칙	파레토 법칙과의 연결을 묻는다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
오류 부재의 궤변	Absence of Errors Fallacy	결함을 모두 제거해도 사용자 요구를 충족하지 못하면 품질이 높다고 할 수 없다는 원리	결함이 없다는 것이 좋은 소프트웨어를 보장하지 않는다.	버그는 0건인데 사용자가 원한 기능이 아니어서 아무도 쓰지 않는다.	버그가 없다 ≠ 좋은 제품.	소프트웨어 테스트 / 검증 / 확인	원리 이름과 의미를 짝짓게 한다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
검증	Verification	개발자 관점에서 제품이 명세대로 만들어졌는지 확인하는 활동	올바르게 만들고 있는가(Are we building the product right)를 본다. 확인(Validation)과 짝으로 나온다.	설계서에 적힌 대로 코드가 짜였는지 리뷰로 확인한다.	개발자 관점 — 「제대로 만들고 있나」.	확인 / 정적 테스트	검증과 확인을 서로 바꿔 낸다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
확인	Validation	사용자 관점에서 제품이 요구를 만족하는지 확인하는 활동	올바른 제품을 만들었는가(Are we building the right product)를 본다.	실제 사용자가 써 보고 「우리가 원한 게 이거다」를 승인한다.	사용자 관점 — 「맞는 걸 만들었나」.	검증 / 인수 테스트	검증과의 구별.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
정적 테스트	Static Test	프로그램을 실행하지 않고 명세나 코드를 검토해 결함을 찾는 테스트	동료 검토, 워크스루, 인스펙션이 여기 속한다. 개발 초기에 결함을 발견할 수 있다.	코드를 실행하지 않고 리뷰·정적 분석 도구로 결함을 찾는다.	실행 안 함 = 정적.	동적 테스트 / 워크스루 / 인스펙션	실행 여부로 정적/동적을 분류하게 한다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
동적 테스트	Dynamic Test	프로그램을 실행해 결과를 확인하는 테스트	화이트박스 테스트와 블랙박스 테스트가 여기 속한다.	실제로 돌려 입력을 넣고 결과를 확인한다.	실행함 = 동적.	정적 테스트 / 화이트박스 테스트	분류 문제.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
동료 검토	Peer Review	작성자가 설명하고 동료들이 결함을 찾는 가장 비공식적인 정적 검토	2~3명이 참여하는 짧은 검토다.	옆자리 개발자에게 화면 하나를 설명하며 같이 훑어본다.	가장 비공식적.	워크스루 / 인스펙션	3가지 검토 기법의 공식성 순서를 묻는다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
워크스루	Walkthrough	검토 회의 전에 명세서를 미리 배포해 사전 검토한 뒤 짧게 진행하는 검토 회의	작성자(개발자)가 주도하며 2시간 이내로 끝낸다. 단순한 테스트 케이스로 프로덕트를 수작업 수행해 보기도 한다. 인스펙션과 동일한 의미가 아니다.	회의 전에 명세서를 미리 돌려 읽게 하고 2시간 안에 끝낸다.	작성자가 주도. 인스펙션과 같은 의미가 아니다.	인스펙션 / 동료 검토 / 정적 테스트	인스펙션과 같은 의미라는 문장이 틀린 보기로 출제된다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11 오답노트출처
인스펙션	Inspection	워크스루를 발전시킨 형태로, 작성자를 제외한 전문가가 산출물 품질을 평가하고 개선 방법까지 제시하는 검토	가장 공식적인 검토 기법이다. 계획-사전 교육-준비-검토 회의-수정-후속 조치 순으로 진행한다.	작성자를 뺀 전문가 팀이 체크리스트로 검사하고 개선안까지 낸다.	워크스루의 진화형 — 가장 공식적.	워크스루 / 동료 검토 / 소스코드 인스펙션	워크스루의 발전형이라는 관계를 묻는다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11 오답노트출처
성능 테스트	Performance Test	부하나 사용량에 따른 응답 시간·처리량을 측정하는 비기능 테스트	부하(Load), 강도(Stress), 스파이크(Spike), 내구성(Endurance) 테스트로 나뉜다.	동시 접속 1만 명 상황에서 응답 시간이 몇 초까지 늘어나는지 잰다.	부하·강도·스파이크·내구성.	부하 테스트 / 강도 테스트	비기능 테스트 종류 나열형.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
회복 테스트	Recovery Test	시스템에 고의로 실패를 유도해 정상 복구 여부를 확인하는 테스트	목적 기반 테스트의 한 종류다.	DB 서버 전원을 일부러 내리고 3분 안에 자동 복구되는지 본다.	고의로 죽여 보고 살아나는지.	성능 테스트 / 회귀 테스트	목적에 따른 테스트 분류(회복, 안전, 강도, 성능, 구조, 회귀, 병행)를 묻는다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
회귀 테스트	Regression Test	변경·수정한 코드가 기존 기능에 영향을 주지 않았는지 확인하는 테스트	수정 후 반복 수행하므로 자동화 효과가 크다. 일관성 검사 오라클과 연결된다.	결제 로직을 고친 뒤 장바구니·쿠폰까지 다시 돌려 부작용을 확인한다.	고친 뒤 「원래 되던 게 아직 되나」.	일관성 검사 오라클 / 회복 테스트	변경 후 기존 기능 확인 = 회귀 테스트.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
병행 테스트	Parallel Test	변경된 시스템과 기존 시스템에 같은 데이터를 넣어 결과를 비교하는 테스트	시스템 교체 시 결과 동일성을 확인한다.	구 시스템과 신 시스템에 같은 데이터를 넣고 결과를 대조한다.	나란히 돌려 결과를 비교.	회귀 테스트 / 일관성 검사 오라클	목적 기반 테스트 분류.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
파레토 법칙	Pareto Principle	전체 결과의 대부분이 소수의 원인에서 발생한다는 80대 20 법칙	테스트에서는 결함 집중 현상의 근거가 된다.	매출 80%가 상품 20%에서 나오듯, 버그 80%가 모듈 20%에서 나온다.	80대 20.	결함 집중 / 살충제 패러독스	결함 집중과 짝지어 출제.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
부하 테스트	Load Test	시스템에 점진적으로 부하를 늘려 임계점을 찾는 성능 테스트	강도 테스트는 임계점을 넘는 과부하를 주는 것이라 다르다.	사용자를 100 → 500 → 1000명으로 늘려 가며 한계점을 찾는다.	점진적으로 늘려 임계점 찾기.	강도 테스트 / 성능 테스트	부하와 강도 테스트를 바꿔 낸다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
강도 테스트	Stress Test	시스템이 견딜 수 있는 한계를 넘는 부하를 주어 동작을 확인하는 성능 테스트	임계점 초과 상황에서의 복구 여부를 본다.	한계를 넘는 5000명을 한꺼번에 넣고 죽는 모습과 복구를 본다.	한계 초과 = 강도(Stress).	부하 테스트 / 회복 테스트	한계 초과 = 강도 테스트.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
오류	Error	결함의 원인이 되는 개발자의 실수	오류(Error) → 결함(Defect) → 실패(Failure) 순으로 이어진다. 결함은 오류의 결과다.	개발자가 부호를 반대로 쓴 실수 → 결함이 되고 → 실행하면 실패로 나타난다.	오류(사람) → 결함(코드) → 실패(현상).	결함 / 테스팅 / 코드 오류	오류·결함·실패의 인과 순서를 묻는다.	2-11 테스트 기본 원리 · 유형 분류 (2과목)	유형_용어 과목2 챕터_2_11
화이트박스 테스트	White Box Test	모듈의 내부 논리 구조를 보면서 테스트 케이스를 설계하는 기법	기법은 기초 경로 검사(Base Path Testing)와 제어 구조 검사(조건, 루프, 데이터 흐름 검사)다. 구조 기반 테스트라고 한다.	if 분기 12개를 모두 한 번씩 지나가도록 테스트 케이스를 설계한다.	코드 속을 본다.	블랙박스 테스트 / 구문 커버리지 / 순환 복잡도	내부 구조를 보는지 여부로 블랙박스와 구별.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
기초 경로 검사	Base Path Testing	논리적 복잡성을 측정해 실행 경로 집합을 정의하고 테스트하는 화이트박스 기법	맥케이브(McCabe)가 제안했다. 순환 복잡도를 이용해 경로 수를 구한다.	제어 흐름 그래프를 그려 독립 경로 수만큼 테스트를 만든다.	맥케이브가 제안 — 순환 복잡도를 쓴다.	순환 복잡도 / 화이트박스 테스트	경로 수 계산 문제.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
순환 복잡도	Cyclomatic Complexity	제어 흐름 그래프의 독립적인 경로 수를 나타내는 논리 복잡도 지표	계산식은 간선 수 − 노드 수 + 2 또는 분기(판단) 노드 수 + 1이다. 값이 클수록 복잡하다.	메서드 하나가 복잡도 25면 리팩토링 대상으로 분류한다.	간선-노드+2 또는 분기수+1.	기초 경로 검사 / 화이트박스 테스트	그래프를 주고 값을 계산하게 한다.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
구문 커버리지	Statement Coverage	모든 명령문을 최소 한 번 실행하는 것을 목표로 하는 커버리지	문장 커버리지라고도 한다. 가장 약한 커버리지다.	모든 코드 줄이 최소 한 번 실행되게 한다 — 가장 약한 기준.	모든 문장 1회.	결정 커버리지 / 조건 커버리지	커버리지 강도 순서를 묻는다.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
결정 커버리지	Decision Coverage	각 분기의 조건식 전체가 참과 거짓을 모두 한 번 이상 갖도록 하는 커버리지	분기 커버리지(Branch Coverage)라고도 한다. 조건식 전체 결과만 본다.	if (a && b) 의 전체 결과가 참·거짓 둘 다 나오게 한다.	조건식 「전체」 결과.	조건 커버리지 / 조건 결정 커버리지 / 구문 커버리지	결정과 조건을 바꿔 서술한다. 전체 결과는 결정이다.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
조건 커버리지	Condition Coverage	조건식 내의 개별 조건이 각각 참과 거짓을 모두 갖도록 하는 커버리지	개별 조건만 보므로 전체 결과가 참·거짓을 다 갖지 않을 수 있다.	if (a && b) 에서 a와 b가 각각 참·거짓을 다 갖게 한다.	「개별」 조건 각각.	결정 커버리지 / 조건 결정 커버리지	개별 조건 = 조건 커버리지.	2-12 화이트박스 테스트 · 커버리지 (2과목)	유형_용어 과목2 챕터_2_12
